Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,44,1486,5455709.2,15551717,-22536261.9,0.000388696326
C,45,1486,-7665911.81,16180904.5,21388257.8,-7.09482427e-05
C,46,1486,-19234321.5,-18437116.5,8354631.32,-0.000124945786
C,59,1486,-32343224.7,26982983.2,-2040407.66,-1.39731571e-07
C,60,1486,7298029.51,41283530.6,-4455128.34,-2.23805517e-07
C,62,1486,-39629667.4,14428172.9,-91043.7442,2.43206192e-07
C,1,1786,-34359758.7,24278406.5,-2617995.82,0.000885076007
C,2,1786,4459016.16,41848338.5,-3058046.31,0.000440166209
C,3,1786,-14775313.4,39344376.4,-3618476.48,-1.75113324e-05
C,4,1786,-39639774.9,14192874.7,-1864891.7,0.00083529968
C,5,1786,21889460.5,35951227.9,-2435275.03,-0.000746227902
C,6,1786,-8159714.32,23300958.6,34219175.1,0.000119280662
C,7,1786,-16478939.9,37489862.3,-10375733.4,-0.000823949552
C,8,1786,-903406.614,36168250.4,-21461568.8,2.75379e-05
C,9,1786,1689033.16,25760341.1,33870971.8,-0.000509037593
C,10,1786,-10507573.6,37747705.1,-15933924.1,7.93366792e-05
C,11,1786,27057626.8,2846291.02,-6130026.66,0.000417884384
C,12,1786,13853891.8,12864595.3,-20487943.6,0.000766660508
C,13,1786,5080391.39,39337166.1,-13702157.1,0.000418565567
C,14,1786,16501493.8,835403.456,22496980.5,0.000221566585
C,16,1786,-10821176.9,22020871.2,34530985.3,-0.000347918338
C,19,1786,-18445849.1,9633535.1,-18576626.4,-0.000925549137
C,20,1786,-12823439.1,-9202717.78,-22996498.5,-0.000176361096
C,21,1786,-1186675.01,24241344.2,13815181.4,-0.000961887455
C,22,1786,-13850325.9,24026903.9,-3230378.31,-0.000104609301
C,23,1786,8306453.32,-15515789.9,-21663032.8,-0.000780207061
C,24,1786,19143742.9,19167825.3,-6665453.97,0.000897345038
C,25,1786,19197373.1,1629868.31,-20195554.8,0.000329547252
C,26,1786,8736188.98,24449489.2,10162625.7,-0.000251179856
C,27,1786,-4223997.04,-15621084.3,22715352,0.000273155075
C,28,1786,14657539.9,-14350113,18927554,0.000207864805
C,29,1786,-27431003.5,4632708.83,-2164353.02,0.000243659247
C,30,1786,-21900211,-8256954.82,15171050.8,-2.69474357e-05
C,32,1786,1068642.47,-24268502.9,-13703226.2,-0.000569750781
C,33,1786,18401128.5,-9582804.78,18661950.4,-0.000949974378
C,34,1786,23005981.4,7376119.71,-14000563.1,0.000372359309
