Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
G,29,3000,-21022683.1,395235.426,16238498,-0.000606678906
G,30,3000,20493648.5,-4386612.35,-16340399.1,-0.0004307745
G,31,3000,-6491367.37,13807515.7,21531212.3,-0.000227816348
G,32,3000,-21128665.7,15889203.3,-506064.246,-0.000612337388
G,1,3300,23170885.4,12765330.5,-4263452.4,0.00017009611
G,2,3300,19373217.3,14010061.8,-11342921.2,-0.00048322302
G,3,3300,11785417.9,19763335.6,13229076.1,0.000201995153
G,4,3300,12567897.4,9263310.41,21516496.8,0.000295139015
G,5,3300,-6370333.89,-25675416,-1883540.89,-0.000162307503
G,6,3300,13815177.4,-9134951.54,20858809.1,0.000401578902
G,7,3300,25357642.7,4935270.3,-6660994.62,-6.52835375e-05
G,8,3300,5083406.02,15296563.6,-21135332.5,-0.000167691638
G,9,3300,21114800.6,-3170981.54,15753115.2,9.68393557e-05
G,10,3300,-11436726.4,13032770.9,-19813211.3,9.55219645e-07
G,11,3300,1466880.11,-15613033.4,21467546,-0.000580466024
G,12,3300,-10376833.8,-20850124.3,12543453.6,-0.000479350409
G,13,3300,5691453.58,-18121451.5,-18673190,0.000626838168
G,14,1524,13945151.7,-8959299.51,-20693954.4,0.000329394862
G,15,3300,-6990267.25,-15268520,-21032981.4,0.000129177901
G,16,3300,-658497.728,26069137,3171808.25,-0.000359563418
G,17,3300,22984808.8,-12742739.4,-3946038.85,0.000716580392
G,18,3300,-24882141.2,-4002046,-8660298.59,-0.000558605187
G,19,3300,20063115.1,-16429129.9,4578175.75,0.000442617055
G,20,3300,562900.201,-24077903.1,11439557,0.00038698786
G,21,3300,15447573.9,15572277,-15160337.9,0.00013449524
G,22,3300,10771784.2,-17254677.1,-16805590.1,2.8993442e-05
G,23,3300,-15079003.8,-662381.492,-21847394.3,0.000159163722
G,24,3300,-17262093.9,-15529134.7,-13671510.2,-0.00043398918
G,25,3300,-15274727.4,-10694656.4,18674248.2,0.000488973738
G,26,3300,-5683625.4,21623631.4,13904461.1,0.000188719058
G,27,3300,-7593428.83,20051116.8,-15664484,-5.21280903e-06
G,28,3300,-16261155.8,8425080.64,19213123.8,-0.000135764024
G,29,3300,-20521344.4,8515.61421,16867420.4,-0.000606678647
G,30,3300,21038483.9,-4089053.47,-15726484.1,-0.000430772929
G,31,3300,-7258677.46,13477148.7,21507715.1,-0.000227817013
G,32,3300,-21148876.9,15791143.3,-1462308.83,-0.000612338431
G,1,-3584,23000850.3,12744850.1,-5206843.56,0.000170099079
G,2,3600,18906301,13941656.3,-12144023.5,-0.000483221655
G,3,3600,11811810,20258743.3,12444800.2,0.000202002253
G,4,3600,11919147.9,9765906.39,21659068.7,0.0002951419
G,5,3600,-6303311.77,-25737741.1,-925247.863,-0.000162308071
